"@timestamp",renterQuote,provider,localization
"Jun 22, 2026 @ 10:22:13.000","Trotz hinterlegter Flugnummer war bei unserer Ankunft kein Shuttlebus vorhanden. Die Station war telefonisch nicht erreichbar und auch der internationale Kundendienst konnte niemanden kontaktieren. Am nächsten Morgen erhielten wir mehrfach widersprüchliche Aussagen (Buchung storniert, kein Fahrzeug verfügbar, später doch Fahrzeug aus Kulanz). Zudem wurde das Fahrzeug nur gegen Abschluss einer zusätzlichen Versicherung herausgegeben. Insgesamt eine sehr schlechte Erfahrung.

Die Buchung wurde über Auto Europe abgewickelt. Nach Einreichung meiner Reklamation habe ich bislang (nach zwei Wochen) noch keine Rückmeldung erhalten.",AutoEurope,de
"Jun 17, 2026 @ 08:59:38.000","Rental Premium Brindisi - Avoid!! Sie sind wirklich kriminell und machen alles dafür, dass du noch mehr Rechnungen im Nachhinein zahlen musst, die gar nichts mit dir zu tun haben. Und ich war nicht die einzige! Sehr Respektlos und Unfreundlich.",BSPAuto,de
"Jun 13, 2026 @ 17:52:08.000","alles ok bei dieser Mietwagenstation am Flughafen Neapel.",BSPAuto,de
"Jun 10, 2026 @ 15:54:20.000","Une équipe qui a su corriger une erreur commise par Bspauto quant à l'heure de prise en charge de la voiture, mais un véhicule très éloigné des standards attendus chez Europcar non seulement visuellement (rayures et bosses partout, vis Parker solidarisant  le pare-chocs à la carrosserie !), mais aussi au niveau de l'entretien (lave-glace non fonctionnel, 0,3 à 0,4 bar d'air manquant dans chaque pneu, bouclage de la ceinture de sécurité avant gauche capricieux et aléatoire...).

Voiture pas propre tant à l'extérieur qu'à l'intérieur : par exemple, une telle couche de crasse recouvrait l'intérieur de la lunette arrière qu'elle devenait opaque au premier rayon de soleil.

Dire que j'avais, dans un souci de qualité du véhicule loué,  privilégié un grand loueur international par rapport aux loueurs locaux bien moins chers !!!",BSPAuto,fr
"Jun 10, 2026 @ 09:37:28.000","Der Schalterraum der Station war so klein und vollgestellt, dass drei Kunden diesen schon ausgefüllt haben. Alle nachfolgenden Mieter hätten auf dem belebten Gehweg zur Straße in der Hitze mit ihrem Gepäck  warten müssen. Eine Kundentoilette gab es nicht, was ein smilieumrandeter Zettel ""No toilet, thanks"" verkündete. Man solle zu einer entsprechenden öffentlichen Kabine gegenüber gehen, wo schon eine Schlange Menschen stand. Gerade nach oder vor langen Fahrten, und gerade mit Kindern könnte man doch erwarten, ein WC und eine Möglichkeit zum Händewaschen in einer Mietwagenstation anzutreffen.",Rentalcars,de
"Jun 10, 2026 @ 08:47:09.000","Lange Wartezeit trotz Reservierung",Rentalcars,de
"Jun 8, 2026 @ 01:42:39.000","Authorized bug bounty normal supplier review probe","Sunny Cars",de
"Jun 5, 2026 @ 19:49:06.000","MIetwagenstation lag ausserhalb",AutoEurope,de
"Jun 4, 2026 @ 21:13:00.000","Delpaso macht am meisten Geld damit, dass Menschen keine Kreditkarte, sondern eine Debitkarte haben und dann 280 Euro zahlen müssen, bevor sie das Auto nehmen dürfen. Das muss man einfach bei denen wissen. Und da muss man auch Fotos/ein Video machen beim Abholen, weil einem sonst Schäden ""untergeschoben"" werden. Transfer zum Flughafen hat gut geklappt.","Argus Car Hire",de
"Jun 1, 2026 @ 11:02:22.000","Vermeodet Abbycar. Keine gute Idee, hier zu buchen! Habe mich noch nie so unsicher gefühlt, einen Mietwagen zu fahren. Die Stoßdämpfer an der Vorderachse waren nicht mehr existent, jedes Schlagloch somit die Hölle. Die Kofferraumklappe fiel fast ab bei jedem öffnen oder schließen und der Kofferraum blieb nicht offen, wenn man die Klappe nicht festhielt. Unfreundliches Personal.","Argus Car Hire",de
"May 24, 2026 @ 18:42:26.000","Proof of concept supplier review content over ten chars.",Alamo,de
"May 22, 2026 @ 13:07:41.000","Überfordert, wenig problemorientiert, nicht  freundlich und versuchte, einen schnell loszuwerden .
Zum Zustand des Wagens kann ich nichts sagen, da ich kein Fahrzeug erhielt, aber ohne eine  Sternenvergbe kann man keine Bewertung abgeben, daher 1 Stern. ",Rentalcars,de
"May 21, 2026 @ 17:45:16.000","Sehr unseriöses Verhalten: kommentarlos teure Zusatzversicherungen gebucht und meine Unterschrift vom Tablet ins Formular kopiert, die Kosten haben sich dadurch mehr als verdoppelt. Außerdem wurde eine verpflichtende Zusatzgebühr für Abholung am Flughafen erhoben obwohl dies bereits gebucht war. Auch für ein Dieselfahrzeug wurde ein Aufschlag erhoben ohne das zu erklären. Leider habe ich bei Übernahme des Fahrzeugs nicht mehr in den ausgedruckten und zusammengefaltet in einem Umschlag ausgehändigten Vertrag geschaut.",Rentalcars,de
"May 21, 2026 @ 04:01:25.000","Good service",Alamo,de
"May 21, 2026 @ 03:25:29.000","Excellent service from start to finish at the location.",Alamo,de
"May 21, 2026 @ 03:24:54.000",,Alamo,de
"May 21, 2026 @ 00:29:21.000","Security research - please ignore",Alamo,de
"May 20, 2026 @ 15:22:32.000","Büro unbesetzt während der Öffnungszeit, als endlich ein Mitarbeiter auftaucht ist die bestellte Wagenkategorie nicht  verfügbar. Der Ersatztwagen ist komplett verdreckt. Beim Wegfahren stellten wir noch fest das der Tank halbleer war. Bei Nachfrage meinte der Mitarbeiter er hat am Vertrag Füllstand 6/8 vermerkt. Da es uns an Zeit und Nerven mangelte sind wir  nicht weiter darauf eingegangen. 
","Sunny Cars",de
"May 15, 2026 @ 16:52:55.000","Unser eigenes Fahrzeug war in einem guten Zustand, die Art und Weise allerdings, wie beim Kautionsgeld der Kunden abkassiert wird, ist eiskalter Betrug. Wir waren unmittelbare Zeugen, wie im Checkbereich neben uns die Kaution zweier Kundinnen einbehalten wurde, weil beim Fahrzeugcheck bei der Rückgabe auf der Innenseite (!!) der hinteren Tür auf der Beifahrerseite ein stecknadelkopfgroßer Fleck beanstandet wurde. Die Mitarbeiterin war frech und in keinster Weise gesprächsbereit. Hinzu kommt, dass dieser Bereich des Fahrzeugs  nie bei der Fahrzeugübergabe vorgeführt wird, sondern nur bei der Rückgabe und somit  (Vorfall am 14.05.2026 in Palma de Mallorca) der Willkür der Firma jede Möglichkeit bietet- wir werden nie wieder bei ""Go-by-car"" buchen und können nur jedem dringend empfehlen, das gesamte Auto vorab detailliert zu fotographieren - die Firma erfindet scheinbar schlicht nahezu unsichtbare Schäden, um die 830 EURO zusätzlich einbehalten zu können. Auch wir haben es im Übrigen erlebt, dass man uns ein teures Aufpreismodell für die Versicherung verkaufen wollte, obwohl wir komplett abgesichert waren. ""go-by-car"" versucht, insbesondere die Kunden, die nicht über diese Firma Vollkasko ohne Selbstbeteiligung gebucht haben, ""über den Tisch zu ziehen"". Hier werden die Autos gänzlich anders gecheckt als bei den Kunden mit bei ""go-by-car"" gebuchter Vollkasko. ",AutoEurope,de
"May 15, 2026 @ 12:11:47.000","Le loueur devrait signaler à l'enlèvement du véhicule les possibles frais de péages. ",Wisecars,fr
"May 14, 2026 @ 12:42:59.000","Die Anmietung des Fahrzeugs war gut, aber leider gab und gibt es bei der Rückgabe Probleme. Nachdem ich beim Einparken leider ein paar marginale Kratzer an der hinteren Felge verursacht hatte, wurden mir seitens Locauto schnell mal 770 Euro von meiner Kreditkarte abgebucht. Ich hatte Locauto vorher um Zusendung von entsprechenden Fotos gebeten für meine Versicherung bei Auto Europe, aber Locauto hatte mit mir gar nicht kommuniziert, sondern gleich das Geld abgebucht. Sehr schlechter Servive, Hauptsache Geld gleich abbuchen (770 Euro für paar lächerliche Kratzer, das ist doch pure Geldschneiderei!), aber keinerlei Hilfe leisten! Nie wieder werde ich bei Locauto buchen! Bei Bearbeitung bei Auto Europe (Versicherung) dauert sehr lange, ja,ja, aber der Kunde kann ja 8 Wochen auf sein Geld warten! Ich hoffe, ich bekomme mein Geld zurück, ich hatte alle notwendigen Versicherungen abgeschlossen.",AutoEurope,de
"May 12, 2026 @ 08:46:21.000","Respektloses und aufdringliches Verhalten bei der Übergabe. Es wurde grosser Druck aufgebaut, um zusätzliche und nicht gewünschte Versicherungen zu verkaufen. ",Rentalcars,de
"May 11, 2026 @ 21:22:27.000","Vorsicht Abzocke!

Leider insgesamt eine sehr negative Erfahrung.

Bereits bei der Abholung gab es die ersten Probleme. Die Vermietung versuchte mehrfach, zusätzliche Versicherungen zu verkaufen, obwohl ich erklärt hatte, bereits separat versichert zu sein. Die Aussage der Mitarbeiterin, diese Versicherung würde „nicht alles übernehmen“, war schlicht irreführend und vermittelte einen sehr unseriösen Eindruck.

Zusätzlich wollte man mir zunächst den doppelten Preis für den Kindersitz verrechnen, was sich am Ende als Fehler der Vermietung herausstellte. Fehler können passieren – kombiniert mit Unfreundlichkeit und mangelnder Professionalität hinterlässt das jedoch einen sehr schlechten Eindruck.

Bei der Rückgabe wurde dann trotz sauberem Innenraum nochmals eine zusätzliche Gebühr von 36 € verlangt, nur weil das Auto nicht durch eine Waschanlage gefahren wurde. Auch das wirkt eher wie eine fragwürdige Zusatzabzocke als kundenorientierter Service.

Insgesamt leider eine Mischung aus Inkompetenz, aggressivem Upselling und unfreundlichem Umgang.",BSPAuto,de
"May 11, 2026 @ 10:34:53.000","Ich wurde von Mouhssine empfangen. Er war sehr nett und hilfsbereit. Vielen Dank, Mouhssine! Der Wagen war sauber und in einem guten Zustand.",Wisecars,de
"May 10, 2026 @ 17:41:35.000","Musste 2. Fahrer zahlen, obwohl im Voucher aufgeführt.  Vermutlich Problem von BSPAuto.",BSPAuto,de
"May 8, 2026 @ 18:08:10.000","Die Fa. Click-Rent zeichnet sich durch Kunden-Unfreundlichkeit, Ignoranz und alte Fahrzeuge aus. Mein Fahrzeug war alt (ca. 74Tkm) und ziemlich abgerockt. Bei der Rückgabe dann die Behauptung, die Schäden seinen von mir verursacht, dass ist anmaßend. Diese Mietwagenfirma werde ich nicht noch einmal wählen.",AutoEurope,de
"May 7, 2026 @ 10:27:22.000","Excellent service, clean car and quick pickup.",Rentalcars,de
"May 5, 2026 @ 01:46:16.000","Sehr schlechte Autos. Viele Macken und Schäden. Vorsicht! Bei der Anmietung versucht man einem ein schlechtes Gewissen zu machen. wenn man nicht noch zig Versicherungen abschließt! Nicht darauf reinfallen! Und bitte vor dem einsteigen alles fotografieren und am besten noch ein Video von allen Schäden machen. Noch besser. Nicht bei billiger mietwagen buchen! Turisprime ebenso meiden! ",AutoEurope,de
"May 4, 2026 @ 15:47:03.000","Anlässlich unseres letzten Besuchs in Kapstadt haben wir – einmal mehr –  über „Billiger Mietwagen DE“ ein Mietauto, diesmal der „1 first Car“, gebucht.
Mit dem Service sowie der Abwicklung der Miete lief alles gut.



Nur dieses eine mal hatten wir „Pech“ und wir wurden  Opfer eines gemeinen Angriffs auf den Mietwagen um an unser Natel zu gelangen – „smash-and- grab“.
Wir reisen schon zum 15. Mal nach Südafrika  ohne dass wir jemals in irgend einer Weise angegangen wurden – meist mit einem Mietwagen gebucht über Ihre Agentur.

Am  Rotlicht – Kreuzung M7 mit der Jakkalsvlei Ave. musste die ganze Frz. Kolonne anhalten . In diesem Augenblick rannte eine unbekannte Person von links auf unsern Wagen zu und zertrümmerte mit einem Gegenstand (ev. Eisenstange oder Hammer) das vordere seitliche Fenster wo meine Gattin sass die in das Handy schaute um mir den unsere Reiseroute zu  erläutern. Dabei wurde meine Frau durch den zweiten Schlag in das „spinnennetzartige“ Glas am Arm getroffen und leicht verletzt.
Mit einem raschen Zugriff meinerseits konnte ich das Natel greifen und fuhr sofort weiter. Auf dem Polizeiposten Goodwood  konnten wir eine Anzeige erstatten und die First Car bracht uns nach einem längeren Gespräch einen Ersatzwagen, Der Polzei musste dieser Hotspot bekannt gewesen sein, lagen da doch auf einer längeren Strecke am Strassenrand kaputte Fensterglas Splitter, und unser Südafrikanische Freunde sagten es würden z.T. Tafeln aufgestellt um vor diesen high risk Zonen zu warnen – wir haben aber keine solche Tafeln jemals gesehen.

Als Anregung für die Auto Vermieter vor Ort:
-	Keine Werbung am Wagen als Erkennung für einen Mietwagen
-	Anbringen von Sicherheitsfolien gegen Einbruch an den seitlichen Scheiben – eventull auch als Sichtsschutz von aussen.
-	Hinweis am Auto, dass eine solche Folie angebracht ist!
-	Abgabe von den Vorsichtsmassnahmen  in schriftlicher, einfacher Form  – sehen Sie  auch meine Beilagen
-	Abgabe einer einfachen Strassenkarte, welche Strassenzüge  oder Kreuzungen gemieden werden sollten.
-	
Ich hoffe Ihnen mit meinen Ausführungen etwas zu verdäutlichen wie sich Autofahrer besser vor Ungemach in Südafrika schützen könnten und der Aufwand – vor allem für die Abgabe einer Broschüre – wäre es sicher wert.

Das schöne Reiseland Südafrika hätte es auch verdient. Vielleicht erhalte ich von Ihnen eine kleine Rückantwort zu meinen Gedanken über das erlebte.


",AutoEurope,de
"May 3, 2026 @ 20:58:48.000","Die Bereifung des Fahrzeugs hatte auf allen Achsen weniger als 1mm Profil, Von den Bremsen kamen Geräusche nach längeren Fahrten Berg ab. Zentralverriegelung war defekt: Fahrzeug hat sich willkürlich verschlossen oder entriegelt sobald der Schlüssel in der Nähe war. Zeitweise konnte das Fahrzeug gar nicht abgeschlossen werden bzw. nur die Fahrertüre manuell mit Schlüssel. Fahrzeug war innen nicht gereinigt, überall noch Sand vom Vorgänger und dann wurde sogar noch eine Gebühr erhoben bei Abgabe für die Fahrzeugreinigung.",AutoEurope,de
"May 3, 2026 @ 14:25:57.000","Nie wieder Thrifty! 
Sie haben mir eine 340,-€ Extraversicherung untergejubelt. Habe es erst bei der Kontrolle der Kreditkarte gemerkt. Sie wurde in keinster Weise bei der Abholung erwähnt. Ich war schon froh, dass mir keiner eine Extra Versicherung verkaufen will.
Erst wurde ein bißchen Verwirrung gesäht, Auto ist noch nicht fertig, kein Problem gibt einen Anderen. Geht  auch nicht sie hatten eine höhere Kategorie. Das ist jetzt der Richtige. Alles sehr freundlich. Danach......
Unterschreiben sie bitte hier für den Mietwagen und bitte hier für die Tankreglung und Kaution. Haha, die zweite Unterschrift war die extra Versicherung. 
So etwas ist mir noch nie passiert, ich bin in der Regel zweimal im Jahr in Andalusien und brauche einen Mietwagen, da unser Retreatzentrum in den Bergen liegt.
Mein Fazit: Lieber ein paar Euro mehr und nicht betrogen werden.

Christoph",AutoEurope,de
"Apr 30, 2026 @ 20:55:14.000","Absolute Verbrecher, setzen einen unter Druck und verlangen Märchenpreise vor Ort",Carhiremarket,de
"Apr 29, 2026 @ 09:57:04.000","Die Freundlichkeit bei der Abholung ist sehr gut. Die Mitarbeiterin hat uns alle wichtigen Informationen zur Anmietung genannt und erklärt.
Die Freundlichkeit bei der Abholung ist sehr gut. Auch als wir mit dem ersten Mietwagen ein Problem hatten, wurde uns schnell und unkompliziert geholfen.
Warum ich leider einen Punkt abziehen muss ist, dass mir im Nachhinein noch ein Nachtanken berechnet wurde. Das erste Fahrzeug hatte ein Problem am Motor und ich war froh überhaupt noch fahren zu können. Das zweite Fahrzeug wurde mit vollem Tank zurück gegeben. ",BSPAuto,de
"Apr 28, 2026 @ 20:35:07.000","Natürlich ist mir bewusst, dass billiger mietwagen.de nur der Vermittler ist und das Fahrzeug vom lokalen Vermieter zur Verfügung gestellt wird. Fehlerbeschreibung siehe oben oder mein Feedback. 
Auto war sehr schwach. Und ich rede nicht von der Leistung.",Enterprise,de
"Apr 27, 2026 @ 18:49:09.000","Excellent car condition, highly recommend.",AutoEurope,fr
"Apr 27, 2026 @ 18:13:56.000","Excellent car condition, highly recommend.",AutoEurope,fr
"Apr 27, 2026 @ 00:06:57.000","Very bad supplier, would not recommend",AutoEurope,fr
"Apr 26, 2026 @ 23:51:29.000","Great supplier, no issues",AutoEurope,fr
"Apr 24, 2026 @ 10:57:10.000","Office in abgelegenen Gebiet.
Preis ist plötzlich fast 3 x höher.
Personal für NIX zustäding, außer
dass der Kunde akzeptiert.
Take it or leave it!
SABENA:
such a bad experience never again!",BSPAuto,de
"Apr 23, 2026 @ 17:14:12.000","test test test test test test test test","Sunny Cars",fr
"Apr 23, 2026 @ 10:59:33.000","alles top gelaufen",Rentalcars,de
"Apr 21, 2026 @ 09:37:32.000","Alles in allem perfekter Ablauf :-)","Argus Car Hire",de
"Apr 21, 2026 @ 08:02:16.000","ABZOCKE - Vorsicht vor Wheego Mobility.",Wisecars,de
"Apr 20, 2026 @ 14:36:25.000","Wir fragen uns wieso wir mehr Geld für Europcar als Premium-Anbieter ausgeben, wenn wir dann in Valencia ein Fahrzeug mit 6 unterschiedlichen Kratzern übergeben bekommen. Bei der Übergabe haben wir selber noch einen zusätzlichen Schaden gefunden. Dann war Europcar gar nicht kulant bei der Rückgabe als sie wiederum einen weiteren Kratzer gefunden haben. Der neue Kratzer war sehr versteckt. Wir konnten jetzt nicht mehr nachvollziehen ob wir der Verursacher waren oder ob der Kratzer doch schon bei der Übergabe vorlag. Es scheint ein Geschäftsmodell zu sein Schäden vom Kunden zahlen zu lassen ohne das Fahrzeug zu reparieren zu lassen.  ",BSPAuto,de
"Apr 17, 2026 @ 15:33:49.000","Very clean car, excellent service.",Alamo,de
"Apr 16, 2026 @ 17:09:14.000","Test supplier review text for security testing purposes - no real rental occurred.",Alamo,de
"Apr 16, 2026 @ 10:34:37.000","Fahrzeug war nicht gereinigt, außen und innen ",BSPAuto,de
"Apr 15, 2026 @ 18:28:07.000","<img src=x onerror=alert(1)>",Alamo,de
"Apr 15, 2026 @ 13:54:56.000","Fake review submitted via security vulnerability - no auth required at all",Alamo,de
"Apr 15, 2026 @ 12:03:41.000","Sixt Duisburg ,Paul Esch Str ,nicht zu empfehlen, weil man nicht das bekommt was man gebucht hat und extra Kosten entstanden sind. ",Rentalcars,de
"Apr 13, 2026 @ 17:58:35.000","Offensichtlich stand zunächst kein Wagen zur Verfügung. Dann bekamen wir ein E-Auto, das einzige, dass noch da war. Wir wollten gar keins, wir wollten einen Benziner. Das Auto war nur zu 40 % geladen. Die Aussagen des Mitarbeiters dazu waren falsch.",Alamo,de
"Apr 13, 2026 @ 17:28:05.000","Ich würde zu einer weiteren Versicherung genötigt, falls ich nicht voll haften möchte im Falle eines Schadens/ Diebstahls. Dafür musste ich nochmals 133,10 zahlen. Mein Widerspruch, ich sei bereits voll versichert wurde barsch zurückgewiesen und verneint.",Rentalcars,de
"Apr 12, 2026 @ 15:32:27.000"," Go by Car hätte, wie im Vorjahr, in allen 3 Kategorien 5 Sterne bekommen, wenn nicht der junge Mann gewesen wäre, der mir eine Versicherung für eigentlich 835 € , für ""nur"" 345 € verkaufen wollte und mir sagte, dass die Versicherung, die ich bei euch abgeschlossen habe, bei weitem nicht ausreichend sei. Ich schließe bei euch immer die besten Versicherungen ab und es dauerte lang, bevor er mein ausdrückliches NEIN akzeptierte.
5 Sterne für Service und Freundlichkeit gehen an die Mitarbeiter, die versucht haben, die fehlerhafte Elektronik bzgl. des Reifendrucks zu beheben.","Argus Car Hire",de
"Apr 10, 2026 @ 17:08:55.000","Leider wurde uns am Malaga-Airport (Thrifty) eine Versicherung untergeschoben, die wir bereits hatten. Wir haben diese weder bestellt noch wurden wir gefragt, ob wir eine zusätzliche Versicherung wünschen.  
Die Kaution für den Tankinhalt sowie die reguläre Kaution wurden offenbar so festgelegt, dass sie ungefähr der Höhe der zusätzlichen Versicherung entsprachen. 
Dadurch ist uns beim Unterschreiben nichts Verdächtiges aufgefallen.  
Wir waren zu zweit vor Ort, sodass ein sprachliches Missverständnis ausgeschlossen werden kann. Wir würden betrogen.",AutoEurope,de
"Apr 8, 2026 @ 09:18:42.000","Es gab ein Problem bei der Abholung. Bei meiner gebuchten Abholzeit um 12 Uhr, war das Büro geschlossen, kein Mensch vor Ort  und die Telefonnummer eine allgemeine Nummer der Zentrale in Athen (keine örtliche) unbesetzt.
Gegen 12.30 erschien dann ein junger, freundlicher Mann, der mir zeigt, das in seinen Unterlagen als Abholzeit 13 Uhr angegeben war.
Das missverständliche Ärgernis lag also beim Anbieter, der eine falsche Uhrzeit übermittelt hatte und auf meine spätere Beschwerde mir als Kunden die Schuld daran gab, anstatt sich wenigstens zu entschuldigen.",AutoEurope,de
"Apr 7, 2026 @ 13:05:40.000","Am Fahrzeug waren defekte Scheibenwischer montiert. Das war bei Abholung nicht ersichtlich, sondern zeigte sich erst am nächsten Tag. Mitten im laufenden Verkehr auf der Landstraße setzte Regen ein und man hat nichts mehr durch die Windschutzscheibe gesehen. Das war eine gefährliche Situation. ","Sunny Cars",de
"Apr 1, 2026 @ 18:26:54.000","Hier passte alles",Rentalcars,de
"Apr 1, 2026 @ 09:32:17.000","guter Service",Enterprise,de
"Mar 31, 2026 @ 00:07:37.000","Vereinbarte Vollkaskoversicherung wurde nicht akzeptiert und eine weitere Versicherung für 150 AED war notwendig. Für angebliche Parkgebühren am Flughafen wurden weitere 50 AED verlangt. 
Wagen wurde mit laufendem Motor, eingelegtem Rückwärtsgang (!!) und angezogener Handbremse übergeben. 
Einige Tage nachdem ich bereits zuhause war kam per Whatsapp die Meldung: wieviele Tage wollen Sie verlängern? Der Wagen wurde nicht zurückgegeben...",BSPAuto,de
"Mar 30, 2026 @ 19:41:36.000","Vorort in Südafrika war alles bestens, nur 1 Woche nach Rückkehr, ich hatte grade eine gute Bewertung eingegeben, haben sie mir mit fadenscheinigen und unberechtigten Begründungen 1550 ZAR abgebucht, die mir nach zweimalige Protest wieder zurück erwiesen wurden. Deswegen werde ich Tempest Car Hire nicht mehr auswählen.",BSPAuto,de
"Mar 28, 2026 @ 04:12:41.000","Wir hatten leider einen Schaden am Mietwagen. Gebucht über den Broker (Reisebüro) BSP mit 500€ Selbstbeteiligung wollte man von uns trotzdem eine Selbstbeteiligung vom 1000$ (870€) haben. Zum Glück haben wir das ganze einen Tag vor Abgabe des Mietwagens am Fliughafen abgewickelt und unser Reisenbüro konnte sich noch einschalten und wir mussten nach diversen Telefonaten mit Europa und einigen emails doch nur 500€ Selbstbeteiligung bezahlen. Offensichtlich eine blöde Masche von ANSA Rentals, dem Europcar Franchisenehmer vor Ort!

Bitte aufpassen bei den Abkürzungen für die Versicherungen (LDW, CDW usw.), denn die haben hier eine andere Bedeutung als bei anderen Vermietern und werden im Mietvertrag nicht erklärt. Wir unterstellen der Dame am Abholschalter auch ganz bewusst viel zu schnell englisch gesprochen zu haben um das möglicherweise zu verschleiern.

EUROPCAR Barbados & Ansa Rentals meiden",BSPAuto,de
